;meta[language=en]
; id      |key(hex)|key(str)| text
2116942172||W3EE_VHigh|Very High
2116942173||W3EE_NegateDamage|Enemy Dodge - Negate Damage
2116942174||W3EE_DamagePerc|Enemy Dodge - Damage Taken (Percentage)
2116942175||W3EE_Humans|Humans
2116942176||W3EE_Unskilled|Unskilled
2116942177||W3EE_BH1|Hits Before Trying Block
2116942178||W3EE_BH2|Chance To Raise Block
2116942179||W3EE_BH3|Chance To Lower Block
2116942180||W3EE_BH4|Additive Chance Per Hit
2116942181||W3EE_BH5|Chance To Parry Attack
2116942182||W3EE_BH6|Chance To Dodge Light
2116942183||W3EE_BH7|Chance To Dodge Heavy
2116942184||W3EE_BH8|Chance To Dodge Signs
2116942185||W3EE_BH9|Chance To Dodge Projectiles
2116942186||W3EE_BH10|Blocks Before Trying Counter
2116942187||W3EE_BH11|Chance To Counter Attack
2116942188||W3EE_BH12|Blocks Before Trying Counter
2116942189||W3EE_Novice|Novice
2116942190||W3EE_Adept|Adept
2116942191||W3EE_Expert|Expert
2116942192||W3EE_Veteran|Veteran
2116942193||W3EE_NoviceShield|Novice Shield
2116942194||W3EE_ExpertShield|Expert Shield
2116942195||W3EE_TwoHanded|Two Handed
2116942196||W3EE_Large|Large
2116942197||W3EE_Small|Small
2116942198||W3EE_Monsters|Monsters
2116942199||W3EE_Attacks|Attacks
2116942200||W3EE_AttackAngleSide|Attack Angle - Side Attacks (Degrees)
2116942201||W3EE_AttackAngleBack|Attack Angle - Rear Attacks (Degrees)
2116942202||W3EE_DPKnockdown|Deadly Precision - Knockdown Chance
2116942203||W3EE_DPLongStagger|Deadly Precision - Long Stagger Chance
2116942204||W3EE_DPStagger|Deadly Precision - Stagger Chance
2116942205||W3EE_SBBlockBreak|Sundering Blows - Block Break Chance
2116942206||W3EE_Rewards|Rewards
2116942207||W3EE_ExpScale|Quest - Experience Scaling
2116942208||W3EE_GoldScale|Quest - Gold Reward Scaling
2116942209||W3EE_ExpMult|Quest - Experience Multiplier
2116942210||W3EE_GoldMult|Quest - Gold Reward Multiplier
2116942211||W3EE_ExpDownsc|Fighting - Experience Downscaling
2116942212||W3EE_ExpFightMult|Fighting - Experience Multiplier
2116942213||W3EE_Talents|Talents
2116942214||W3EE_TalentsPerLevel|Talents - Amount Gained Per Level
2116942215||W3EE_BetterHagglingSkill|Haggling for prices is 25% easier.<br>Angering someone has less of an effect on the maximum reward amount.
2116942216||W3EE_SkillPrereq|Talents - No Skill Prerequisites
2116942217||W3EE_SlotsUnlocked|Talents - All Skill Slots Unlocked
2116942218||W3EE_FreeSkills|Talents - No Skillpoint Requirement
2116942219||W3EE_MutSlotsUnlocked|Mutagens - All Mutagen Slots Unlocked
2116942220||W3EE_Visual|Visual
2116942221||W3EE_Blood|Blood - Enabled
2116942222||W3EE_BloodRanged|Blood - Ranged Attacks
2116942223||W3EE_BloodCrits|Blood - Only On Criticals
2116942224||W3EE_ImpactSpray|Blood - Blood Impact Spray
2116942225||W3EE_MajorBloodSpray|Blood - Major Blood Spray
2116942226||W3EE_BloodTrail|Blood - Blood Trail
2116942227||W3EE_IntenseAard|Signs - Intense Aard
2116942228||W3EE_IntenseIgni|Signs - Intense Igni
2116942229||W3EE_Inventory|Inventory
2116942230||W3EE_InvCombat|Inventory In Combat
2116942231||W3EE_CWGeralt|Base Carryweight - Geralt
2116942232||W3EE_CWHorse|Base Carryweight - Horse
2116942233||W3EE_HIOpenAnywhere|Horse Inventory - Open Anywhere
2116942234||W3EE_WeightAlch|Weight - Alchemy Items
2116942235||W3EE_WeightMoney|Weight - Money
2116942236||W3EE_WeightMisc|Weight - Misc
2116942237||W3EE_Exploration|Exploration
2116942238||W3EE_FallDam|Falling Damage
2116942239||W3EE_SprintStamUse|Sprinting - Stamina Usage
2116942240||W3EE_CombatOnly|Combat Only
2116942241||W3EE_Disabled|Disabled
2116942242||W3EE_SprintStamUseDelayE|Sprinting - Stamina Usage Delay (Exploration)
2116942243||W3EE_SprintStamUseDelayC|Sprinting - Stamina Usage Delay (Combat)
2116942244||W3EE_InstantDrain|Sprinting - Instant Drain Below Full
2116942245||W3EE_WitcherSense|Sprinting - While Using Witcher Sense
2116942246||W3EE_SprintIndoors|Sprinting - Indoors
2116942247||W3EE_SprintHorseCity|Horse Sprinting - Cities
2116942248||W3EE_Preparation|Preparation
2116942249||W3EE_Meditation|Meditation
2116942250||W3EE_RequiredTimber|Fire - Required Wood
2116942251||W3EE_RequiredHTimber|Fire - Required Timber
2116942252||W3EE_MeditationLevel|Meditation - Level Up Anywhere
2116942253||W3EE_MeditationChangeTalent|Meditation - Change Mutagens Anywhere
2116942254||W3EE_MeditationUpgrade|Meditation - Upgrade Gear Anywhere
2116942255||W3EE_MeditationMenuType|Meditation - Quick Menu Type
2116942256||W3EE_MenuPaused|Solid Menu - Paused
2116942257||W3EE_MenuUnpaused|Translucent Menu - Not Paused
2116942258||W3EE_Alchemy|Alchemy
2116942259||W3EE_PAlchYield|Alchemy - Yield: Potions
2116942260||W3EE_BrewDur|Alchemy - Brewing Duration Per Ingredient
2116942261||W3EE_DistillDur|Alchemy - Distillation Duration
2116942262||W3EE_MaxPotCount|Alchemy - Maximum Potion Count
2116942263||W3EE_MaxBombCount|Alchemy - Maximum Bomb Count
2116942264||W3EE_MaxOilCount|Alchemy - Maximum Oil Count
2116942265||W3EE_GPotionDur|Alchemy - Global Potion Duration
2116942266||W3EE_MPotionDur|Alchemy - Minimum Potion Duration
2116942267||W3EE_GDecocDur|Alchemy - Global Decoction Duration
2116942268||W3EE_MDecocDur|Alchemy - Minimum Decoction Duration
2116942269||W3EE_GOilCharges|Alchemy - Global Oil Charges
2116942270||W3EE_MOilCharges|Alchemy - Minimum Oil Charges
2116942271||W3EE_PDurMult|Alchemy - Potion Duration Multiplier
2116942272||W3EE_DDurMult|Alchemy - Decoction Duration Multiplier
2116942273||W3EE_OChargeMult|Alchemy - Oil Charge Multiplier
2116942274||W3EE_HealthModifiers|Health Modifiers
2116942275||W3EE_HMPlayer|Health Multiplier - Player
2116942276||W3EE_HMRelict|Health Multiplier - Relicts
2116942277||W3EE_HMNecro|Health Multiplier - Necrophages
2116942278||W3EE_HMCursed|Health Multiplier - The Cursed
2116942279||W3EE_HMBeasts|Health Multiplier - Beasts
2116942280||W3EE_HMInsectoid|Health Multiplier - Insectoids
2116942281||W3EE_HMVampire|Health Multiplier - Vampires
2116942282||W3EE_HMSpecter|Health Multiplier - Specters
2116942283||W3EE_HMDraconid|Health Multiplier - Draconids
2116942284||W3EE_HMGriffin|Health Multiplier - Griffins
2116942285||W3EE_HMHybrid|Health Multiplier - Hybrids
2116942286||W3EE_HMOgroid|Health Multiplier - Ogroids
2116942287||W3EE_HMNekker|Health Multiplier - Nekkers
2116942288||W3EE_HMHuman|Health Multiplier - Humans
2116942289||W3EE_HMElemental|Health Multiplier - Elementals
2116942290||W3EE_HMWildHunt|Health Multiplier - Wild Hunt
2116942291||W3EE_HMAnimal|Health Multiplier - Animals
2116942292||W3EE_DamageModifiers|Damage Modifiers
2116942293||W3EE_PMelee|Damage Multiplier - Player Melee
2116942294||W3EE_PCrossbow|Damage Multiplier - Player Crossbow
2116942295||W3EE_PSigns|Damage Multiplier - Player Signs
2116942296||W3EE_PBombs|Damage Multiplier - Player Bombs
2116942297||W3EE_PDoT|Damage Multiplier - Player DoT
2116942298||W3EE_EDoT|Damage Multiplier - Enemy DoT
2116942299||W3EE_DMRelicts|Damage Multiplier - Relicts
2116942301||W3EE_DMNecrophages|Damage Multiplier - Necrophages
2116942302||W3EE_DMTheCursed|Damage Multiplier - The Cursed
2116942303||W3EE_DMBeasts|Damage Multiplier - Beasts
2116942304||W3EE_DMInsectoids|Damage Multiplier - Insectoids
2116942305||W3EE_DMVampires|Damage Multiplier - Vampires
2116942306||W3EE_DMSpecters|Damage Multiplier - Specters
2116942307||W3EE_DMDraconids|Damage Multiplier - Draconids
2116942308||W3EE_DMGriffins|Damage Multiplier - Griffins
2116942309||W3EE_DMHybrids|Damage Multiplier - Hybrids
2116942310||W3EE_DMOgroids|Damage Multiplier - Ogroids
2116942311||W3EE_DMNekkers|Damage Multiplier - Nekkers
2116942312||W3EE_DMHumans|Damage Multiplier - Humans
2116942313||W3EE_DMElementals|Damage Multiplier - Elementals
2116942314||W3EE_DMWildHunt|Damage Multiplier - Wild Hunt
2116942315||W3EE_DMAnimals|Damage Multiplier - Animals
2116942316||W3EE_YrdenSkill|Magic trap that snares enemies and slowly drains their life. If an opponent spends 3 seconds inside the ring, it will be immobilized. Enhances Geralt's reactions while within the ring.<br><br>Time Slow: $I$%<br>Health Drain: $I$ per second<br>Snare Duration: $I$-$I$ seconds<br>Sign Duration: $I$ seconds
2116942317||W3EE_QuenSkill|Protective shield that grants additional armor. Incoming damage is reduced by the shield health until it breaks. Slows Vigor regeneration by 50% while active.<br><br>Shield Health: $I$<br>Shield Duration: $I$ seconds
2116942318||W3EE_VigorSkill|Enables Vigor regeneration.<br>Each point of missing Vigor decreases melee damage by $I$%.
2116942319||W3EE_WhirlLvl1|Incoming damage from attacks (excluding ranged attacks) is reduced by $I$%.
2116942320||W3EE_WhirlLvl2|<br>Consumes $I$% less Stamina.
2116942321||W3EE_WhirlLvl3|<br>Taking damage while whirling no longer causes stagger.
2116942322||W3EE_RendSkill|Critical hit chance increases with load up to $I$%.<br>Armor piercing increases with load up to $I$%.<br>Damage increases with load up to $I$%.
2116942323||W3EE_DeadlyPrecLvl1|Reduces the stamina cost of defensive actions by $I$%.<br>The damage inflicted by unparriable attacks while countering is reduced by $I$%.<br>The damage inflicted by huge monster attacks while countering is also reduced by $I$%.
2116942324||W3EE_StrTrainingSkill|Increases Strong attack speed by $I$%.<br>Strong attacks additionally have a $I$% chance to stagger opponents.
2116942325||W3EE_CripplStrikeSkill|Fast attacks have a $I$% chance to cripple opponents and slow their movements and a $I$% higher chance to inflict injuries.<br>Opponents are slowed to a maximum value of $F$% with increments of $F$% per attack.<br>Opponents recover after not taking damage for $I$ seconds.
2116942326||W3EE_SunderingBlowsSkill|Strong attacks ignore $I$ of the opponent's poise.<br>Parried hits have a $I$% chance to break guards.
2116942327||W3EE_AnKnowlSkill|Increases ranged attack armor piercing by $I$%<br>Increases ranged attack critical hit chance by $I$%.
2116942328||W3EE_CrushingBlowSkill|Increases strong attack armor piercing by $I$% and strong attack critical hit damage by $I$%.
2116942329||W3EE_FleetFootedLvl1|Increases maximum safe dodge angle to $I$ degrees.<br>Increases the speed of evasive actions by $I$%.<br>Reduces graze damage received by $I$%.
2116942330||W3EE_FleetFootedLvl2|<br>Negates all stagger while dodging.
2116942331||W3EE_HeightenedSenseLvl1|Perfectly timed parries reflect projectiles towards the attacker.<br>Deflecting projectiles costs no Stamina.<br>The chance of receiving injuries is $F$% lower.<br>Poise is increased by $F$.
2116942332||W3EE_HeightenedSenseLvl2|Perfectly timed parries reflect projectiles towards the attacker for double damage.<br>Deflecting and redirecting projectiles costs no Stamina.<br>The chance of receiving injuries is $F$% lower.<br>Poise is increased by $F$.
2116942333||W3EE_HeightenedSenseLvl3|Enables the parrying of incoming attacks from behind.<br>Perfectly timed parries reflect projectiles towards the attacker for double damage.<br>Deflecting and redirecting projectiles costs no Stamina.<br>The chance of receiving injuries is $F$% lower.<br>Poise is increased by $F$.
2116942334||W3EE_CounterattackLvl1|After a successful counterattack, the next hit deals $F$% more damage and has a $F$% higher critical hit chance.<br>Empowered Bashes: Bashes have a $F$% base chance to knock an opponent down, varying based on their remaining health and your Stamina.<br>Empowered Kicks: Your kicks deal $F$ Stamina damage to the opponent and impede stamina regeneration for $F$ seconds.<br>Empowered Slashes: Your sword slash has an additional $F$% chance to apply up to $F$ stack of bleeding.
2116942335||W3EE_CounterattackLvl2|After a successful counterattack, the next hit deals $F$% more damage and has a $F$% higher critical hit chance.<br>Empowered Bashes: Bashes have a $F$% base chance to knock an opponent down, varying based on their remaining health and your Stamina.<br>Empowered Kicks: Your kicks deal $F$ Stamina damage to the opponent and impede stamina regeneration for $F$ seconds.<br>Empowered Slashes: Your sword slash has an additional $F$% chance to apply up to $F$ stacks of bleeding.
2116942336||W3EE_ColdBloodLvl1|Ranged attacks made on incapacitated opponents - be it hypnotization, immobilization, etc - will deal $F$% more damage.
2116942337||W3EE_ResolveSkill|Vigor loss upon taking damage is reduced by $I$%.<br>Lowers attack and evasion speed loss incurred on low Vitality by $I$%.
2116942338||W3EE_UndyingSkill|While below $F$% health, each point of Adrenaline increases Vitality regeneration by $F$ points.<br>While below $F$% health, each point of Adrenaline prevents $F$ points of damage from every source.
2116942339||W3EE_PreciseBlowsSkill|Fast attacks have a $I$% higher chance to inflict bleeding.<br>Increases fast attack critical hit chance by $I$%.
2116942340||W3EE_FloodAngerSkill|Increases Adrenaline generation speed by $I$%.<br>Each point of Adrenaline increases Sign Intensity by $F$%.
2116942341||W3EE_RazorFocusSkill|Slows Adrenaline point loss by $I$%.<br>Increases attack speed by $F$% for each point of Vigor.
2116942342||W3EE_MuscleMemorySkill|Increases fast attack speed by $I$%.<br>Fast attack stamina cost is reduced by $I$%. 
2116942343||W3EE_AltIgniLvl1|Alternate Sign Mode:<br>Emits a continuous stream of fire dealing $F$ damage and slowing opponents by $F$%.
2116942344||W3EE_AltIgniLvl2|<br>Vigor cost is reduced by $I$%.
2116942345||W3EE_AltQuenLvl1|Alternate Sign Mode:<br>Creates an active shield. Maintaining it and blocking attacks drains Vigor.<br>Damage absorbed by the shield restores Stamina and increases Adrenaline.
2116942346||W3EE_AltQuenLvl2|Alternate Sign Mode:<br>Maintaining an active shield now drains $I$% less Vigor.<br>Shield health is increased by $I$.<br>Damage absorbed by the shield restores Stamina and increases Adrenaline.
2116942347||W3EE_AltQuenLvl3|Alternate Sign Mode:<br>Maintaining an active shield no longer costs Vigor.<br>Vigor drain from attacks is unchanged.<br>Damage absorbed by the shield restores Stamina and increases Adrenaline.
2116942348||W3EE_AxiiLvl1|Increases base success chance by $I$%.<br>Axii duration is increased by $I$%.
2116942349||W3EE_AxiiLvl2|Increases base success chance by $I$%.<br>Axii duration is increased by $I$%.
2116942350||W3EE_FixativeSkill|Applied blade oils last $I$% longer.
2116942351||W3EE_HunterInstSkill|When Vigor is at its max, critical hit damage against the targeted enemy type is increased by $I$%.
2116942352||W3EE_GriffinSkill|Each piece of medium armor increases resistance to critical effects by $F$% and lowers vigor loss from taking damage by $F$%.
2116942353||W3EE_RageManageSkill|If no Vigor points are available, signs will be cast using Stamina, but with a $I$% sign intensity reduction.
2116942354||W3EE_AdrBurstSkill|Attacking an enemy raises melee damage by $I$% for half a second.
2116942355||W3EE_FocusSkill|Reduces the sign intensity penalty incurred on Vigor loss by $I$%.
2116942356||W3EE_ImpCondSkill|Increases stamina regeneration by $I$.
2116942357||W3EE_AdvPyroSkill|If the Cluster Bombs talent from the Potion tree is available, extend the number of bombs in the cluster by $I$.
2116942358||W3EE_AtkBstDfnsSkill|Every $I$ seconds, the next offensive action taken will not consume any stamina or impede regeneration.
2116942359|b577d40f||Potion durations are increased by $I$%.
2116942360|f982ae03||Potion durations are increased by $I$%.
2116942361|f982ae04||Potion durations are increased by $I$%.
2116942362|8a55e7f1||Potion Specialization
2116942363|67f16592||You have a $I$% chance of obtaining regular mutagens as a by-product of alchemy.
2116942364|963b4ce0||You have a $I$% chance of obtaining regular mutagens as a by-product of alchemy.
2116942365|963b4ce1||You have a $I$% chance of obtaining regular mutagens as a by-product of alchemy.
2116942366|ef3b7253||You've learned to manage your resources more efficiently and have a $I$% chance to create an additional bomb from the same ingredients.
2116942367|f832d83f||You've learned to manage your resources more efficiently and can create an additional bomb from the same ingredients.
